ColorName
Phthalo Green
Dark Sienna
Liquid Black
Phthalo Blue
Prussian Blue
Sap Green
Bright Red
Van Dyke Brown
Indian Yellow
Yellow Ochre
Cadmium Yellow
Titanium White
Liquid Clear
Midnight Black
Indian Red
Burnt Umber
Black Gesso
Alizarin Crimson
